Benjamin Haydon;Wordsworth
Catherine Barton;Charles Montague
Charles Montague;Isaac Newton
Christiaan Huygens;Henry Oldenburg
Christopher Wren;Edmond Haley
Christopher Wren;Robert Hooke
Edmond Haley;Isaac Newton
Edmond Haley;James II
Edmond Haley;Robert Hooke
Gottfried Leibniz;Isaac Newton
Gottfried Leibniz;Johann Bernoulli
Hannah Ayscough;Barnabas Smith
Hannah Ayscough;William Ayscough
Henry Oldenburg;John Wilkins
Henry Oldenburg;Robert Boyle
Henry Oldenburg;Robert Hooke
Isaac Newton;Barnabas Smith
Isaac Newton;Christiaan Huygens
Isaac Newton;Hannah Ayscough
Isaac Newton;Henry Oldenburg
Isaac Newton;Henry Stokes
Isaac Newton;Isaac Barrow
Isaac Newton;John Collins
Isaac Newton;John Conduitt
Isaac Newton;John Locke
Isaac Newton;John Wallis
Isaac Newton;Nicolas Fatio de Duillier
Isaac Newton;Robert Boyle
Isaac Newton;Samuel Pepys
Isaac Newton;William Ayscough
Isaac Newton;William Clarke
James Crompton;Isaac Newton
James Crompton;John Flamsteed
James Gregory;John Collins
John Collins;Isaac Barrow
John Flamsteed;Edmond Haley
John Milton;Henry Oldenburg
Keats;Benjamin Haydon
Keats;Wordsworth
Nicolas Fatio de Duillier;Christiaan Huygens
Oliver Cromwell;John Wilkins
Robert Boyle;Robert Hooke
Robert Hooke;Isaac Newton
Samuel Pepys;James II
